Referencia;Industrial;Garimpo;Fogo;Fragmentacao
1989;2565;305;1287434;2652648
1990;2684;311;1437101;2708302
1991;2858;327;1447995;2721073
1992;3007;349;1656746;2741339
1993;3115;359;1849006;2760241
1994;3279;376;1961406;2745541
1995;3512;393;2027503;2728093
1996;3645;399;2113737;2717663
1997;3750;409;2288022;2677094
1998;4118;481;2525851;2688059
1999;4259;498;2644973;2694383
2000;4402;516;2814385;2715486
2001;4543;544;2957818;2768927
2002;4586;562;3024091;2792023
2003;4650;573;3180574;2796109
2004;4783;605;3257083;2837342
2005;4861;621;3307399;2839540
2006;4907;628;3346074;2835435
2007;4990;639;3479069;2852289
2008;5104;655;3707179;2839050
2009;5269;773;3718702;2840464
2010;5477;875;3806465;2836580
2011;5646;908;3825317;2836228
2012;6001;936;3913993;2848743
2013;6360;982;3908924;2868748
2014;6509;1000;3882701;2907394
2015;6806;1048;4023921;2994925
2016;7069;1134;4031995;2959454
2017;7209;1173;4041107;2967898
2018;7348;1183;4050180;3011735
2019;7544;1195;4171136;300045
2020;7792;1207;4240829;3006701
2021;7846;1498;4347581;3007411
2022;8164;1737;0;0
2023;8164;1737;0;0
